fips,incidentType,num_disasters,has_data_center,num_data_centers
01101,Tropical Storm,0,1,1
01101,Snowstorm,0,1,1
01101,Coastal Storm,0,1,1
01101,Severe Ice Storm,0,1,1
01103,Severe Storm,3,0,0
01103,Fire,0,0,0
01103,Hurricane,2,0,0
01103,Winter Storm,0,0,0
01103,Flood,0,0,0
01103,Tornado,0,0,0
01103,Tropical Storm,0,0,0
01103,Snowstorm,0,0,0
01103,Coastal Storm,0,0,0
01103,Severe Ice Storm,0,0,0
01105,Severe Storm,2,0,0
01105,Fire,0,0,0
01105,Hurricane,3,0,0
01105,Winter Storm,0,0,0
01105,Flood,0,0,0
01105,Tornado,0,0,0
01105,Tropical Storm,0,0,0
01105,Snowstorm,0,0,0
01105,Coastal Storm,0,0,0
01105,Severe Ice Storm,0,0,0
01107,Severe Storm,0,0,0
01107,Fire,0,0,0
01107,Hurricane,2,0,0
01107,Winter Storm,0,0,0
01107,Flood,0,0,0
01107,Tornado,0,0,0
01107,Tropical Storm,0,0,0
01107,Snowstorm,0,0,0
01107,Coastal Storm,0,0,0
01107,Severe Ice Storm,0,0,0
01109,Severe Storm,1,0,0
01109,Fire,0,0,0
01109,Hurricane,3,0,0
01109,Winter Storm,0,0,0
01109,Flood,0,0,0
01109,Tornado,0,0,0
01109,Tropical Storm,0,0,0
01109,Snowstorm,0,0,0
01109,Coastal Storm,0,0,0
01109,Severe Ice Storm,0,0,0
01111,Severe Storm,3,0,0
01111,Fire,0,0,0
01111,Hurricane,3,0,0
01111,Winter Storm,0,0,0
01111,Flood,0,0,0
01111,Tornado,0,0,0
01111,Tropical Storm,0,0,0
01111,Snowstorm,0,0,0
01111,Coastal Storm,0,0,0
01111,Severe Ice Storm,0,0,0
01113,Severe Storm,0,0,0
01113,Fire,0,0,0
01113,Hurricane,2,0,0
01113,Winter Storm,0,0,0
01113,Flood,0,0,0
01113,Tornado,0,0,0
01113,Tropical Storm,0,0,0
01113,Snowstorm,0,0,0
01113,Coastal Storm,0,0,0
01113,Severe Ice Storm,0,0,0
01115,Severe Storm,0,0,0
01115,Fire,0,0,0
01115,Hurricane,2,0,0
01115,Winter Storm,0,0,0
01115,Flood,0,0,0
01115,Tornado,0,0,0
01115,Tropical Storm,0,0,0
01115,Snowstorm,0,0,0
01115,Coastal Storm,0,0,0
01115,Severe Ice Storm,0,0,0
01117,Severe Storm,2,1,1
01117,Fire,0,1,1
01117,Hurricane,2,1,1
01117,Winter Storm,0,1,1
01117,Flood,0,1,1
01117,Tornado,0,1,1
01117,Tropical Storm,0,1,1
01117,Snowstorm,0,1,1
01117,Coastal Storm,0,1,1
01117,Severe Ice Storm,0,1,1
01119,Severe Storm,1,0,0
01119,Fire,0,0,0
01119,Hurricane,2,0,0
01119,Winter Storm,0,0,0
01119,Flood,0,0,0
01119,Tornado,0,0,0
01119,Tropical Storm,0,0,0
01119,Snowstorm,0,0,0
01119,Coastal Storm,0,0,0
01119,Severe Ice Storm,0,0,0
01121,Severe Storm,0,0,0
01121,Fire,0,0,0
01121,Hurricane,3,0,0
01121,Winter Storm,0,0,0
01121,Flood,0,0,0
01121,Tornado,0,0,0
01121,Tropical Storm,0,0,0
01121,Snowstorm,0,0,0
01121,Coastal Storm,0,0,0
01121,Severe Ice Storm,0,0,0
01123,Severe Storm,3,0,0
01123,Fire,0,0,0
01123,Hurricane,2,0,0
01123,Winter Storm,0,0,0
01123,Flood,0,0,0
01123,Tornado,0,0,0
01123,Tropical Storm,0,0,0
01123,Snowstorm,0,0,0
01123,Coastal Storm,0,0,0
01123,Severe Ice Storm,0,0,0
01125,Severe Storm,1,0,0
01125,Fire,0,0,0
01125,Hurricane,2,0,0
01125,Winter Storm,0,0,0
01125,Flood,0,0,0
01125,Tornado,0,0,0
01125,Tropical Storm,0,0,0
01125,Snowstorm,0,0,0
01125,Coastal Storm,0,0,0
01125,Severe Ice Storm,0,0,0
01127,Severe Storm,1,0,0
01127,Fire,0,0,0
01127,Hurricane,2,0,0
01127,Winter Storm,0,0,0
01127,Flood,0,0,0
01127,Tornado,0,0,0
01127,Tropical Storm,0,0,0
01127,Snowstorm,0,0,0
01127,Coastal Storm,0,0,0
01127,Severe Ice Storm,0,0,0
01129,Severe Storm,0,0,0
01129,Fire,0,0,0
01129,Hurricane,3,0,0
01129,Winter Storm,0,0,0
01129,Flood,0,0,0
01129,Tornado,0,0,0
01129,Tropical Storm,0,0,0
01129,Snowstorm,0,0,0
01129,Coastal Storm,0,0,0
01129,Severe Ice Storm,0,0,0
01131,Severe Storm,1,0,0
01131,Fire,0,0,0
01131,Hurricane,3,0,0
01131,Winter Storm,0,0,0
01131,Flood,0,0,0
01131,Tornado,0,0,0
01131,Tropical Storm,0,0,0
01131,Snowstorm,0,0,0
01131,Coastal Storm,0,0,0
01131,Severe Ice Storm,0,0,0
01133,Severe Storm,1,0,0
01133,Fire,0,0,0
01133,Hurricane,2,0,0
01133,Winter Storm,0,0,0
01133,Flood,0,0,0
01133,Tornado,0,0,0
01133,Tropical Storm,0,0,0
01133,Snowstorm,0,0,0
01133,Coastal Storm,0,0,0
01133,Severe Ice Storm,0,0,0
02013,Severe Storm,0,0,0
02013,Fire,0,0,0
02013,Hurricane,0,0,0
02013,Winter Storm,0,0,0
02013,Flood,0,0,0
02013,Tornado,0,0,0
02013,Tropical Storm,0,0,0
02013,Snowstorm,0,0,0
02013,Coastal Storm,0,0,0
02013,Severe Ice Storm,0,0,0
02016,Severe Storm,1,0,0
02016,Fire,0,0,0
02016,Hurricane,0,0,0
02016,Winter Storm,0,0,0
02016,Flood,0,0,0
02016,Tornado,0,0,0
02016,Tropical Storm,0,0,0
02016,Snowstorm,0,0,0
02016,Coastal Storm,0,0,0
02016,Severe Ice Storm,0,0,0
02020,Severe Storm,0,0,0
02020,Fire,0,0,0
02020,Hurricane,0,0,0
02020,Winter Storm,0,0,0
02020,Flood,0,0,0
02020,Tornado,0,0,0
02020,Tropical Storm,0,0,0
02020,Snowstorm,0,0,0
02020,Coastal Storm,0,0,0
02020,Severe Ice Storm,0,0,0
02050,Severe Storm,2,0,0
02050,Fire,0,0,0
02050,Hurricane,0,0,0
02050,Winter Storm,0,0,0
02050,Flood,7,0,0
02050,Tornado,0,0,0
02050,Tropical Storm,0,0,0
02050,Snowstorm,0,0,0
02050,Coastal Storm,0,0,0
02050,Severe Ice Storm,0,0,0
02060,Severe Storm,0,0,0
02060,Fire,0,0,0
